nis,uid,namaSiswa,tanggalLahir,alamat,jenisKelamin,agama,saldoSiswa
123456,003694043,Aldo Pratama,5/15/2009,Jalan Mawar No. 10,Laki-laki,Islam,0
123457,003637346,Betty Wulandari,6/22/2009,Jalan Melati No. 5,Perempuan,Islam,0
123458,002581988,Cahyo Nugroho,7/12/2009,Jalan Anggrek No. 7,Laki-laki,Islam,0
123459,003694027,Dewi Sartika,8/30/2009,Jalan Kenanga No. 3,Perempuan,Islam,0
123460,003636194,Eko Wijaya,9/25/2009,Jalan Cempaka No. 8,Laki-laki,Islam,0
123461,003635601,Fiona Yuliana,10/11/2009,Jalan Kamboja No. 9,Perempuan,Islam,0
123462,0012349762,Gilang Ramadhan,11/16/2009,Jalan Seroja No. 4,Laki-laki,Islam,0
123463,0012360727,Hanafi Aulia,12/9/2009,Jalan Flamboyan No. 6,Perempuan,Islam,0
123464,0012265732,Iqbal Hidayat,1/23/2009,Jalan Palem No. 2,Laki-laki,Islam,0
123465,0012424086,Julia Kartika,2/14/2009,Jalan Teratai No. 11,Perempuan,Islam,0
